1.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,1.0,90.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
10.0,2.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,90.0,10.0,10.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,10.0,10.0,2.0,1.0,1.0,0.0
2.0,1.0,1.0,10.0,3.0,10.0,10.0,1.0,90.0,2.0,10.0,2.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,3.0
0.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,3.0,10.0,2.0,1.0,90.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,90.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,10.0,10.0,2.0,1.0,1.0,10.0,10.0,10.0,90.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
90.0,2.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,10.0,10.0,90.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,90.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
2.0,0.0,1.0,10.0,10.0,2.0,1.0,1.0,10.0,3.0,90.0,2.0,1.0,90.0,2.0,90.0,2.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0
0.0,1.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,1.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
10.0,2.0,0.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,10.0,90.0,2.0,1.0,90.0,10.0,90.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,0.0
90.0,10.0,10.0,10.0,-1.0,1.0,3.0,90.0,10.0,-1.0,1.0,3.0,90.0,10.0,-1.0,90.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0
1.0,3.0,90.0,10.0,-1.0,1.0,3.0,90.0,10.0,-1.0,90.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0
1.0,3.0,90.0,2.0,-1.0,90.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0
90.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0
-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,10.0,1.0,0.0,-1.0,10.0,10.0,2.0,1.0,-1.0,10.0,10.0,2.0,90.0,1.0
-1.0,10.0,2.0,1.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,1.0,1.0,0.0,-1.0,10.0,10.0,2.0,1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,10.0,10.0,10.0,1.0,1.0,3.0,90.0,10.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,1.0,1.0,2.0
2.0,1.0,10.0,-1.0,-1.0,3.0,90.0,10.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0
3.0,90.0,2.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0
3.0,90.0,2.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0
1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,90.0,2.0,1.0,10.0,-1.0,1.0,3.0,90.0,2.0,-1.0,1.0,3.0,90.0,2.0,-1.0,90.0,2.0,1.0,1.0,-1.0,0.0
-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,1.0,1.0,0.0,-1.0,10.0,10.0,2.0,1.0,-1.0,10.0,10.0,2.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
-1.0,10.0,2.0,0.0,1.0,-1.0,10.0,2.0,1.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,10.0,1.0,1.0,0.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,90.0,2.0,1.0,0.0,1.0,1.0,3.0,90.0,1.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,1.0,0.0
-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,10.0,1.0,1.0,-1.0,-1.0,10.0,1.0,2.0,-1.0,-1.0,10.0,90.0,2.0,1.0
1.0,1.0,1.0,0.0,0.0,10.0,1.0,2.0,1.0,1.0,10.0,90.0,2.0,90.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,90.0,2.0,90.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,90.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,1.0,1.0,1.0,0.0,-1.0,10.0,1.0,2.0,1.0,-1.0,10.0,90.0,2.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,10.0,2.0,1.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,10.0,1.0,2.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,2.0,1.0,10.0,1.0,1.0,3.0,90.0,2.0,1.0,1.0,3.0,90.0,2.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,10.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,1.0
0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,2.0,1.0,1.0,-1.0,1.0,3.0,90.0,2.0,-1.0,1.0,3.0,90.0,2.0,-1.0,0.0
1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,10.0,1.0,0.0,1.0,-1.0,10.0,2.0,0.0,1.0,-1.0,10.0,2.0,1.0,1.0,-1.0,10.0,90.0,2.0,1.0,-1.0,2.0,90.0,2.0,1.0,0.0
-1.0,-1.0,2.0,90.0,2.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,10.0,1.0,2.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,10.0,2.0,0.0,-1.0,-1.0,10.0,2.0,1.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,2.0,90.0,2.0,-1.0,-1.0,1.0,1.0,1.0,2.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,1.0,-1.0,10.0,2.0,0.0,1.0,-1.0,90.0,2.0,1.0,1.0,-1.0,3.0,90.0,2.0,1.0,0.0
1.0,0.0,1.0,90.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,90.0,2.0,1.0,1.0,1.0,0.0
10.0,1.0,0.0,1.0,90.0,10.0,2.0,0.0,1.0,1.0,90.0,2.0,1.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,90.0,2.0,1.0,1.0,0.0
-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,10.0,2.0,0.0,-1.0,-1.0,90.0,2.0,1.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,2.0,90.0,2.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,90.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,90.0,2.0,1.0,90.0,2.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,3.0,90.0,2.0,-1.0,-1.0,0.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,10.0,90.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,1.0,-1.0,10.0,2.0,0.0,1.0,-1.0,90.0,2.0,1.0,1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,90.0,2.0,1.0,0.0,1.0,1.0,3.0,90.0,1.0,1.0,1.0,3.0,90.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,90.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,10.0,2.0,0.0,-1.0,-1.0,90.0,2.0,1.0,-1.0,-1.0,3.0,90.0,2.0,10
1.0,90.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
10.0,1.0,0.0,1.0,1.0,10.0,2.0,1.0,1.0,90.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,1.0,10.0,3.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,2.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,1.0,90.0,3.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,90.0,1.0,1.0,1.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
1.0,1.0,0.0,0.0,-1.0,90.0,1.0,1.0,1.0,-1.0,2.0,2.0,10.0,10.0,-1.0,10.0,1.0,10.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,90.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,90.0,10.0,10.0,1.0,10.0,10.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,90.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0
2.0,1.0,1.0,90.0,1.0,90.0,3.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10
10.0,90.0,1.0,0.0,2.0,10.0,10.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0
-1.0,10.0,3.0,1.0,0.0,-1.0,10.0,90.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,2.0,3.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,90.0,2.0,0.0,-1.0,-1.0,90.0,3.0,1.0,-1.0,-1.0,2.0,90.0,1.0,0.0
-1.0,-1.0,90.0,2.0,0.0,-1.0,-1.0,90.0,3.0,1.0,-1.0,-1.0,2.0,90.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0.0,2.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,1.0,90.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,90.0,10.0,10.0,10.0,10.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,1.0
1.0,90.0,1.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,0.0,2.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,-10
10.0,10.0,10.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1.0,1.0
0.0,3.0,90.0,10.0,2.0,0.0,2.0,90.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
2.0,90.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,10.0,10.0,10.0,0.0,2.0,90.0,10.0,10.0,0.0,3.0,90.0,10.0,2.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,10.0,10.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,90.0,10.0,2.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,1.0
3.0,90.0,10.0,2.0,10.0,2.0,90.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,2.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
2.0,90.0,10.0,1.0,10.0,3.0,90.0,10.0,2.0,10.0,2.0,90.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,10.0,2.0,10.0,1.0,10.0,10.0,-10
1.0,90.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
90.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0
1.0,2.0,2.0,10.0,10.0,1.0,90.0,90.0,10.0,10.0,10.0,10.0,3.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,10.0,10.0,1.0,0.0,1.0,0.0
2.0,10.0,10.0,10.0,-1.0,1.0,10.0,10.0,10.0,-1.0,2.0,10.0,10.0,10.0,-1.0,90.0,10.0,10.0,10.0,-1.0,3.0,1.0,1.0,10.0,-1.0,1.0
0.0,1.0,2.0,2.0,10.0,1.0,1.0,90.0,90.0,10.0,10.0,10.0,10.0,3.0,1.0,10.0,10.0,10.0,1.0,0.0,10.0,10.0,10.0,1.0,0.0,1.0
0.0,1.0,10.0,10.0,10.0,2.0,2.0,10.0,1.0,10.0,90.0,90.0,10.0,10.0,10.0,3.0,3.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,10.0,2.0
-1.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,1.0,90.0,-1.0,10.0,10.0,10.0,3.0,-1.0,10.0,10.0,10.0,90.0,-1.0,10.0,10.0,10.0,10.0,2.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,1.0
1.0,2.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,2.0,2.0,10.0,1.0,10.0,90.0,90.0,1.0,10.0,10.0,3.0,3.0,1.0,1.0,10.0,1.0
0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,90.0,90.0,1.0,10.0,3.0,3.0,10.0,10.0,10.0,90.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,90.0,90.0,1.0,2.0,3.0,3.0,10.0,10.0,10.0,90.0,1.0,0.0
2.0,2.0,1.0,1.0,10.0,90.0,90.0,1.0,10.0,10.0,3.0,3.0,1.0,1.0,10.0,90.0,1.0,0.0,1.0,10.0,10.0,1.0,0.0,1.0,10.0,5.0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,90.0,3.0,10.0,0.0,1.0,2.0,10.0,10.0,0.0,0.0,1.0,10.0,10.0,1.0,2.0,2.0,1.0,1.0,0.0
2.0,1.0,1.0,1.0,-1.0,90.0,1.0,0.0,0.0,-1.0,3.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,90.0,-1.0,1.0,0.0,1.0,10.0,-1.0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,3.0,10.0,10.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,10.0,10.0,10.0,2.0,2.0,1.0,1.0,1.0,-10
90.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.0
10.0,90.0,90.0,90.0,10.0,10.0,10.0,10.0,2.0,1.0,10.0,10.0,10.0,1.0,0.0,10.0,10.0,10.0,1.0,0.0,10.0,10.0,10.0,1.0,0.0,1.0
-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,10.0,3.0,3.0,-1.0,-1.0,10.0,90.0,90.0,-1.0,-1.0,10.0,10.0,10.0,-1.0,-1.0,10.0,10.0,1.0,1.0
90.0,90.0,90.0,10.0,10.0,10.0,10.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,0.0
-1.0,10.0,3.0,3.0,2.0,-1.0,1.0,90.0,90.0,90.0,-1.0,10.0,10.0,10.0,2.0,-1.0,10.0,10.0,1.0,1.0,-1.0,10.0,10.0,10.0,1.0,1.0
0.0,1.0,1.0,-1.0,-1.0,1.0,2.0,90.0,-1.0,-1.0,10.0,10.0,10.0,-1.0,-1.0,1.0,2.0,10.0,-1.0,-1.0,0.0,1.0,10.0,-1.0,-1.0,1.0
0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,90.0,90.0,10.0,10.0,10.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
3.0,3.0,2.0,1.0,1.0,90.0,90.0,90.0,1.0,10.0,2.0,10.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,2.0
10.0,2.0,3.0,2.0,1.0,10.0,10.0,1.0,1.0,0.0,10.0,10.0,90.0,1.0,0.0,10.0,10.0,10.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
2.0,3.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,10.0,90.0,1.0,0.0,0.0,10.0,10.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
2.0,1.0,1.0,2.0,10.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
3.0,2.0,1.0,1.0,2.0,90.0,90.0,1.0,10.0,10.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,2.0,90.0,-1.0,1.0,1.0,90.0,2.0,-1.0,1.0,1.0,2.0,10.0,-1.0,0.0
1.0,1.0,90.0,2.0,-1.0,1.0,1.0,2.0,10.0,-1.0,0.0,0.0,1.0,10.0,-1.0,0.0,0.0,2.0,10.0,-1.0,0.0,0.0,1.0,10.0,-1.0,0.0
0.0,0.0,1.0,1.0,-1.0,1.0,1.0,2.0,90.0,-1.0,1.0,1.0,90.0,2.0,-1.0,1.0,1.0,2.0,10.0,-1.0,0.0,0.0,1.0,10.0,-1.0,0.0
-1.0,-1.0,10.0,3.0,3.0,-1.0,-1.0,1.0,90.0,90.0,-1.0,-1.0,10.0,2.0,3.0,-1.0,-1.0,10.0,10.0,1.0,-1.0,-1.0,10.0,10.0,90.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,10.0,1.0,0.0,-1.0,-1.0,10.0,3.0,3.0,-1.0,-1.0,1.0,90.0,90.0,-10
-1.0,10.0,3.0,1.0,0.0,-1.0,10.0,90.0,1.0,0.0,-1.0,10.0,10.0,2.0,1.0,-1.0,10.0,10.0,10.0,10.0,-1.0,10.0,10.0,10.0,10.0,1.0
10.0,90.0,1.0,0.0,0.0,10.0,3.0,2.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,90.0,10.0,10.0,10.0,-1.0,2.0,90.0,10.0,10.0,-1.0,1.0,1.0,3.0,10.0,-1.0,0.0,0.0,1.0,10.0,-1.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,10.0,10.0,-1.0,-1.0,90.0,3.0,10.0,-1.0,-1.0,1.0,3.0,10.0,-1.0,-1.0,1.0
-1.0,1.0,1.0,0.0,1.0,-1.0,90.0,1.0,0.0,0.0,-1.0,10.0,3.0,1.0,0.0,-1.0,10.0,90.0,1.0,0.0,-1.0,10.0,3.0,2.0,1.0,0.0
-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,90.0,1.0,0.0,-1.0,-1.0,10.0,3.0,1.0,-1.0,-1.0,10.0,90.0,1.0,-1.0,-1.0,10.0,3.0,2.0,2.0
-1.0,-1.0,3.0,3.0,1.0,-1.0,-1.0,90.0,90.0,1.0,-1.0,-1.0,10.0,3.0,2.0,-1.0,-1.0,10.0,10.0,1.0,-1.0,-1.0,10.0,10.0,10.0,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,90.0,10.0,10.0,1.0,1.0,2.0,90.0,3.0,10.0,0.0,1.0,1.0,3.0,10.0,1.0
1.0,90.0,2.0,10.0,1.0,1.0,2.0,90.0,3.0,10.0,0.0,1.0,1.0,3.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0
-1.0,-1.0,90.0,1.0,0.0,-1.0,-1.0,3.0,3.0,1.0,-1.0,-1.0,90.0,90.0,1.0,-1.0,-1.0,3.0,3.0,2.0,-1.0,-1.0,10.0,10.0,1.0,0.0
3.0,3.0,1.0,0.0,0.0,90.0,90.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
2.0,10.0,1.0,-1.0,-1.0,90.0,3.0,10.0,-1.0,-1.0,1.0,3.0,10.0,-1.0,-1.0,0.0,1.0,10.0,-1.0,-1.0,0.0,1.0,10.0,-1.0,-1.0,-10
90.0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,31.0
